134,825.00,408.00,0,149758
-35,134,825.00,408.00,0,151232
-35,134,825.00,408.00,0,151240
-35,134,825.00,408.00,0,151248
-35,134,826.00,409.00,0,151257
-35,134,825.00,408.00,0,151265
-35,134,825.00,409.00,0,151273
-35,134,825.00,408.00,0,151281
-35,134,824.00,408.00,0,151289
-35,134,825.00,409.00,0,151299
-35,134,825.00,408.00,0,151307
-35,134,826.00,408.00,0,151315
-35,134,825.00,408.00,0,151323
-35,134,825.00,408.00,0,151331
-35,134,825.00,409.00,0,151340
-35,134,825.00,408.00,0,151348
-35,134,825.00,408.00,0,151356
-35,134,825.00,408.00,0,151365
-35,134,825.00,408.00,0,151373
-35,134,826.00,408.00,0,151382
-35,134,825.00,408.00,0,151390
-35,134,826.00,409.00,0,151398
-35,134,825.00,408.00,0,151406
-35,134,825.00,409.00,0,151414
-35,134,825.00,408.00,0,151422
-35,134,825.00,408.00,0,151432
-35,134,825.00,409.00,0,151440
-35,134,825.00,409.00,0,151448
-35,134,826.00,408.00,0,151456
-35,134,825.00,408.00,0,151464
-35,134,826.00,409.00,0,151473
-35,134,825.00,408.00,0,151481
-36,134,825.00,408.00,0,151489
-36,134,826.00,409.00,0,151498
-36,134,825.00,408.00,0,151506
-36,134,825.00,408.00,0,151515
-36,134,825.00,408.00,0,151523
-36,134,825.00,408.00,0,151531
-36,134,826.00,408.00,0,151539
-36,134,825.00,408.00,0,151547
-36,134,825.00,409.00,0,151556
-36,134,826.00,408.00,0,151565
-36,134,825.00,409.00,0,151573
-36,134,825.00,409.00,0,151581
-36,134,825.00,409.00,0,151589
-36,134,826.00,408.00,0,151598
-36,134,825.00,408.00,0,151606
-36,134,825.00,408.00,0,151614
-36,134,825.00,408.00,0,151622
-36,134,825.00,408.00,0,151631
-36,134,825.00,409.00,0,151640
-36,134,825.00,408.00,0,151648
-36,134,825.00,409.00,0,151656
-36,134,825.00,408.00,0,151664
-36,134,825.00,408.00,0,151672
-36,134,825.00,408.00,0,151681
-36,134,825.00,408.00,0,151689
-36,134,826.00,409.00,0,151698
-36,134,825.00,408.00,0,151706
-36,134,825.00,408.00,0,151714
-36,134,825.00,409.00,0,151723
-36,134,825.00,408.00,0,151731
-36,134,826.00,408.00,0,151739
-36,134,825.00,408.00,0,151747
-36,134,825.00,408.00,0,151755
-36,134,825.00,408.00,0,151764
-36,134,825.00,408.00,0,151773
-36,134,825.00,409.00,0,151781
-37,134,825.00,408.00,0,151789
-37,134,825.00,408.00,0,151797
-37,134,825.00,408.00,0,151805
-37,134,825.00,408.00,0,151814
-37,134,825.00,408.00,0,151822
-37,134,826.00,408.00,0,151831
-37,134,825.00,409.00,0,151839
-37,134,825.00,409.00,0,151847
-37,134,825.00,408.00,0,151856
-37,134,825.00,408.00,0,151864
-37,134,825.00,408.00,0,151872
-37,134,826.00,408.00,0,151880
-37,134,825.00,408.00,0,151888
-37,134,825.00,409.00,0,151898
-37,134,825.00,408.00,0,151906
-37,134,825.00,408.00,0,151914
-37,134,825.00,409.00,0,151922
-37,134,825.00,408.00,0,151930
-37,134,826.00,408.00,0,151939
-37,134,825.00,408.00,0,151947
-37,134,825.00,408.00,0,151955
-37,134,826.00,408.00,0,151964
-37,134,825.00,408.00,0,151972
-37,134,825.00,409.00,0,151981
-37,134,825.00,409.00,0,151989
-37,134,825.00,409.00,0,151997
-37,134,825.00,409.00,0,152005
-37,134,825.00,408.00,0,152013
-37,134,825.00,408.00,0,152022
-37,134,825.00,408.00,0,152031
-37,134,825.00,408.00,0,152039
-37,134,825.00,408.00,0,152047
-37,134,825.00,408.00,0,152055
-37,134,826.00,409.00,0,152064
-37,134,826.00,408.00,0,152072
-37,134,825.00,408.00,0,152080
-37,134,825.00,408.00,0,152088
-37,134,825.00,408.00,0,152097
-37,134,825.00,409.00,0,152105
-37,134,825.00,408.00,0,152114
-37,134,825.00,409.00,0,152122
-37,134,826.00,408.00,0,152130
-37,134,825.00,408.00,0,152138
-37,134,825.00,408.00,0,152146
-37,134,825.00,408.00,0,152155
-37,134,825.00,408.00,0,152164
-37,134,826.00,408.00,0,152172
-37,134,825.00,408.00,0,152180
-37,134,825.00,409.00,0,152188
-37,134,826.00,409.00,0,152197
-37,134,825.00,409.00,0,152205
-37,134,825.00,408.00,0,152213
-37,134,825.00,408.00,0,152221
-37,134,825.00,408.00,0,152230
-37,134,825.00,408.00,0,152239
-37,134,826.00,408.00,0,152247
-37,134,825.00,408.00,0,152255
-37,134,825.00,409.00,0,152263
-37,134,825.00,408.00,0,152271
-37,134,825.00,408.00,0,152280
-37,134,824.00,408.00,0,152288
-37,134,826.00,408.00,0,152297
-37,134,825.00,408.00,0,152305
-37,134,825.00,408.00,0,152313
-37,134,825.00,408.00,0,152322
-37,134,825.00,408.00,0,152330
-37,134,825.00,409.00,0,152338
-37,134,825.00,408.00,0,152346
-37,134,825.00,408.00,0,152354
-37,134,825.00,408.00,0,152364
-37,134,825.00,408.00,0,152372
-37,134,825.00,408.00,0,152380
-37,134,825.00,408.00,0,152388
-37,134,826.00,408.00,0,152396
-37,134,825.00,409.00,0,152404
-37,134,825.00,408.00,0,152413
-37,134,825.00,408.00,0,152421
-37,134,825.00,408.00,0,152430
-37,134,825.00,408.00,0,152438
-37,134,826.00,408.00,0,152446
-37,134,825.00,408.00,0,152455
-37,134,825.00,408.00,0,152463
-37,134,825.00,409.00,0,152471
-37,134,825.00,408.00,0,152479
-37,134,825.00,408.00,0,152487
-37,134,826.00,409.00,0,152497
-37,134,826.00,408.00,0,152505
-37,134,825.00,409.00,0,152513
-37,134,825.00,408.00,0,152521
-37,134,825.00,409.00,0,152529
-37,134,826.00,408.00,0,152538
-37,134,825.00,408.00,0,152546
-37,134,825.00,408.00,0,152554
-37,134,825.00,408.00,0,152563
-37,134,826.00,409.00,0,152571
-37,134,825.00,408.00,0,152580
-37,134,825.00,408.00,0,152588
-37,134,825.00,408.00,0,152596
-37,134,825.00,409.00,0,152604
-37,134,825.00,408.00,0,152612
-37,134,825.00,408.00,0,152621
-37,134,825.00,408.00,0,152630
-37,134,825.00,409.00,0,152638
-37,134,826.00,408.00,0,152646
-37,134,825.00,409.00,0,152654
-37,134,825.00,408.00,0,152663
-37,134,826.00,409.00,0,152671
-37,134,825.00,408.00,0,152679
-37,134,824.00,409.00,0,152687
-37,134,826.00,408.00,0,152696
-37,134,825.00,408.00,0,152705
-37,134,826.00,408.00,0,152713
-37,134,825.00,408.00,0,152721
-37,134,826.00,408.00,0,152729
-37,134,825.00,408.00,0,152737
-37,134,825.00,408.00,0,152745
-37,134,825.00,408.00,0,152754
-37,134,825.00,408.00,0,152763
-37,134,825.00,409.00,0,152771
-37,134,825.00,408.00,0,152779
-37,134,826.00,408.00,0,152787
-37,134,825.00,408.00,0,152796
-37,134,825.00,409.00,0,152804
-37,134,825.00,408.00,0,152812
-37,134,825.00,408.00,0,152820
-37,134,825.00,408.00,0,152829
